"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: lockType"
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","thrpt",16,5,13506.239718,1055.368942,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","thrpt",16,5,0.042283,0.011053,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","thrpt",16,5,11341.109133,21956.641799,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","thrpt",16,5,3765.865492,7241.788510,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","thrpt",16,5,0.044239,0.010462,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","thrpt",16,5,16951.903175,512.104701,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","thrpt",16,5,0.040900,0.007167,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","thrpt",16,5,7661.447266,28907.290329,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","thrpt",16,5,6277.699077,19692.787895,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","thrpt",16,5,0.040861,0.012649,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","avgt",16,5,0.000940,0.000084,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","avgt",16,5,384.927731,91.108214,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","avgt",16,5,0.014155,0.014667,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","avgt",16,5,458.534872,2081.891445,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","avgt",16,5,357.963719,43.100586,"ms/op",TICKET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","avgt",16,5,0.000917,0.000029,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","avgt",16,5,375.904084,158.691324,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","avgt",16,5,0.027084,0.039751,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","avgt",16,5,0.011545,0.012311,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","avgt",16,5,386.900571,80.388675,"ms/op",TICKET
