"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: lockType"
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","thrpt",32,5,5899.946243,87.827239,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","thrpt",32,5,0.021635,0.004812,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","thrpt",32,5,84858.232536,39688.827501,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","thrpt",32,5,88939.532328,32555.856297,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","thrpt",32,5,0.184353,1.421104,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","thrpt",32,5,1318.326254,72.884151,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","thrpt",32,5,0.020826,0.008910,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","thrpt",32,5,30089.462627,11152.502976,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","thrpt",32,5,29554.164567,6719.294659,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","thrpt",32,5,0.020151,0.006941,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","avgt",32,5,0.005324,0.000093,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","avgt",32,5,1558.126817,416.708188,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","avgt",32,5,881.209826,2620.071786,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","avgt",32,5,674.918713,1795.918107,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","avgt",32,5,1456.028978,589.100884,"ms/op",TICKET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","avgt",32,5,0.024166,0.001596,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","avgt",32,5,1531.117479,607.459013,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","avgt",32,5,2547.679695,6423.281642,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","avgt",32,5,2435.107247,8755.075607,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","avgt",32,5,1534.175029,315.501674,"ms/op",TICKET
