"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: lockType"
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",2,5,23198.760219,602.073910,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",2,5,8.609155,30.836545,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",2,5,16201.945343,751.238418,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",2,5,17125.669684,1444.816748,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",2,5,38.941315,178.115207,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",2,5,0.000085,0.000001,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",2,5,4.466817,12.316200,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",2,5,0.000121,0.000005,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",2,5,0.000074,0.000003,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",2,5,5.170326,12.628139,"ms/op",TICKET
