"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: lockType"
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",8,5,23104.130610,448.496279,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",8,5,0.084826,0.014082,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",8,5,4986.080138,334.022997,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",8,5,4937.909958,500.892123,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",8,5,0.077969,0.019252,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",8,5,0.000362,0.000009,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",8,5,93.428825,31.415486,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",8,5,0.001934,0.001378,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",8,5,0.001789,0.000607,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",8,5,96.593788,14.822191,"ms/op",TICKET
