"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: lockType"
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",16,5,30823.669800,817.799826,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",16,5,0.044406,0.010282,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",16,5,4935.721519,15614.545434,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",16,5,3928.490773,10340.818459,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",16,5,2.439730,20.611793,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",16,5,0.000520,0.000019,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",16,5,346.260525,298.249567,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",16,5,0.017198,0.021608,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",16,5,0.011030,0.014420,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",16,5,382.164096,170.684109,"ms/op",TICKET
