"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: afterSectionMatrixSize","Param: inSectionMatrixSize","Param: lockType"
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",16,5,3.956401,0.061394,"ops/ms",50,10,REENTRANT
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",16,5,0.045556,0.021000,"ops/ms",50,10,MCS
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",16,5,2.811790,0.495187,"ops/ms",50,10,TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",16,5,3.133387,0.459497,"ops/ms",50,10,TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",16,5,0.063564,0.120152,"ops/ms",50,10,TICKET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",16,5,4.048564,0.195444,"ms/op",50,10,REENTRANT
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",16,5,277.831808,462.358262,"ms/op",50,10,MCS
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",16,5,5.698133,1.443061,"ms/op",50,10,TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",16,5,5.079053,0.556981,"ms/op",50,10,TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",16,5,354.071734,188.262239,"ms/op",50,10,TICKET
