"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: afterSectionMatrixSize","Param: inSectionMatrixSize","Param: lockType"
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",16,5,4.298619,0.036109,"ops/ms",10,50,REENTRANT
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",16,5,0.043896,0.012624,"ops/ms",10,50,MCS
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",16,5,44.905113,26.964923,"ops/ms",10,50,TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",16,5,52.773770,12.942678,"ops/ms",10,50,TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",16,5,0.040571,0.014451,"ops/ms",10,50,TICKET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",16,5,4.046313,0.164928,"ms/op",10,50,REENTRANT
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",16,5,390.229379,81.013844,"ms/op",10,50,MCS
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",16,5,3976.660783,26389.839566,"ms/op",10,50,TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",16,5,2026.974669,3185.597648,"ms/op",10,50,TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",16,5,381.813187,86.875284,"ms/op",10,50,TICKET
